id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
22125451,Cozy room with private terrace in Escandón,5727523,Ricardo,,Miguel Hidalgo,19.40338,-99.18064,Private room,439,3,24,2020-09-19,0.70,1,298
22125760,Habitación privada céntrica en la CDMX,1688189,Antonio,,Cuauhtémoc,19.44032,-99.14743,Private room,250,1,108,2020-03-19,3.13,1,364
22125807,Bonita habitación en col. Roma,109059481,Maricela,,Cuauhtémoc,19.40682,-99.16393,Private room,342,1,8,2019-11-10,0.23,4,365
22125881,cama matrimonial c/sofá/smarttv/ cuauhtémoc / cdmx,128937488,Eduardo,,Cuauhtémoc,19.43029,-99.17164,Private room,482,2,14,2020-02-24,0.41,3,354
22142360,Loft metro Chabacano,161708802,Eloína,,Cuauhtémoc,19.41272,-99.13387,Shared room,241,1,4,2019-02-24,0.11,1,364
22143691,Nice apartment in Alamos  neighborhood.,161721073,Carlos,,Benito Juárez,19.40066,-99.14341,Entire home/apt,650,4,74,2020-12-10,2.01,2,163
22145704,Confortable departamento con mucha luz en Polanco,4715943,Eduardo,,Miguel Hidalgo,19.43086,-99.20313,Entire home/apt,1600,2,7,2018-05-11,0.19,9,49
22147194,Tu hogar en Pedregal,97998163,Vianey,,Álvaro Obregón,19.30855,-99.20568,Private room,704,1,43,2020-11-03,1.19,3,362
22153146,Renta de largo plazo en depa de centro de Coyoacán,103982219,Emiliano,,Coyoacán,19.34444,-99.16371,Private room,225,7,0,,,2,89
22159588,Excellent apartment with great location!!,26867557,Janete,,Benito Juárez,19.36488,-99.13939,Entire home/apt,513,2,140,2020-12-11,3.90,1,330
22160300,Small room in the Roma Countess,161854951,Rafael,,Cuauhtémoc,19.4032,-99.16541,Private room,400,5,4,2019-11-21,0.18,1,365
22161120,"Precioso Miniloft, super ubicado en Zona Centro.",158988002,María Cristina,,Cuauhtémoc,19.44046,-99.15183,Entire home/apt,567,2,176,2020-12-19,4.77,3,264
22161368,SuiteMatrimonial/BañoCompartido/TotalmenteEquip 03,98047252,Maria Jose,,La Magdalena Contreras,19.31115,-99.22309,Private room,529,7,14,2020-02-14,0.39,5,327
22162423,Hub for the solo traveller!,47556199,Gonzalo,,Miguel Hidalgo,19.41157,-99.18826,Private room,321,1,1,2018-01-10,0.03,1,180
22164555,"Close to subway B line,airport MexicoCity and TAPO",46510856,Angie,,Venustiano Carranza,19.43942,-99.10313,Entire home/apt,650,1,20,2020-03-16,0.60,2,238
22164781,Linda habitación en departamento,154131925,Paulina,,Benito Juárez,19.39189,-99.15092,Private room,1306,1,0,,,1,0
22166830,"Miniloft entero. Limpio, céntrico  y cómodo",160473638,Magaly,,Cuauhtémoc,19.43998,-99.15237,Entire home/apt,460,3,145,2020-12-23,3.93,1,358
22166907,Habitación en departamento  con estudiantes de IPN,161912168,Roberto,,Gustavo A. Madero,19.503,-99.15528,Private room,209,2,10,2019-12-13,0.34,1,179
22174603,Homely & sunny new look apartment Escandon,108440998,Fernando,,Miguel Hidalgo,19.40265,-99.18,Private room,500,2,0,,,1,178
22174889,"Recamara con piso de madera, camas , closet",161987657,Gladys,,Álvaro Obregón,19.34088,-99.23829,Private room,250,6,0,,,1,365
22191896,Coozy Private room in Santa Fe,160918291,Teresa,,Cuajimalpa de Morelos,19.36301,-99.2794,Private room,900,2,16,2020-11-12,0.45,2,163
22192283,"1940’s Restored Apt, Natural Light and Nice Views.",28840897,Pablo,,Cuauhtémoc,19.40747,-99.1671,Entire home/apt,1094,20,94,2020-11-30,2.59,4,148
22194196,Habitaciones en Renta,144308922,Krystal Grand,,Benito Juárez,19.37962,-99.17716,Entire home/apt,2380,1,5,2018-12-20,0.14,1,364
22194883,"Súper ubicación,  lindo depa, edificio increíble E",229771227,Sara,,Cuauhtémoc,19.43346,-99.1548,Entire home/apt,1413,2,167,2020-12-20,4.55,4,351
22200499,Recamara amueblada con vestidor y baño,162222903,Abino,,Tlalpan,19.23925,-99.23257,Private room,350,1,0,,,1,179
22203088,Departamento en Portales (Habitación),123519054,Tania,,Benito Juárez,19.36818,-99.14015,Private room,317,1,180,2020-03-29,4.94,1,269
22205347,Luxury 1BR Apartment on Emblematic Reforma,40830467,Mauricio,,Cuauhtémoc,19.42783,-99.16456,Entire home/apt,1587,2,77,2020-12-23,2.20,1,90
22205385,"Hermoso PH Polanco, 2 pisos/la mejor ubicaciòn.",162261430,Rocìo,,Miguel Hidalgo,19.43768,-99.19115,Entire home/apt,1200,3,9,2020-11-16,0.24,1,327
22205956,Charming little flat in the heart of condesa.,5178984,Marina,,Cuauhtémoc,19.41544,-99.1768,Entire home/apt,1000,2,21,2020-11-05,0.58,1,75
22208326,Jardín Balbuena,90085677,Rodrigo Armando,,Venustiano Carranza,19.42103,-99.10835,Private room,300,1,1,2019-05-05,0.05,1,179
22208848,Habitación Zona Sur (Ajusco medio) CDMX,4069290,Raúl,,Tlalpan,19.23563,-99.17464,Private room,350,1,0,,,1,356
22209974,Private Loft in PALMAS-POLANCO. Great Location.,121612147,Iliana,,Miguel Hidalgo,19.43398,-99.21163,Entire home/apt,1495,2,26,2020-09-15,0.74,1,334
22221182,"“Villa Intervallo”, acogedor apartamento.",16858411,Fernando,,Benito Juárez,19.36536,-99.18852,Entire home/apt,1280,3,23,2020-09-22,0.75,2,97
22223631,Condesa - Beautiful an cozy aparment. Best area,8995867,Abdeel,,Cuauhtémoc,19.41318,-99.17431,Entire home/apt,773,1,134,2020-12-20,3.64,10,365
22225845,"Plaza Suites Mexico City, 2404 with AC / aire acon",42700394,"Hugo Brauer Apartments,",,Cuauhtémoc,19.43346,-99.1548,Entire home/apt,1521,2,22,2019-09-09,0.64,28,267
22225916,Big & lightfull Apt. in Polanco,9988682,Quinquin,,Miguel Hidalgo,19.4323,-99.18562,Entire home/apt,869,2,118,2020-12-07,3.32,16,61
22226210,CONDESA/ SELF CHECK-IN ANYTIME after 15:00,8995867,Abdeel,,Cuauhtémoc,19.41318,-99.17431,Entire home/apt,771,1,106,2020-12-20,2.87,10,365
22226840,Balcony Private aparment at Condesa WELCOME,8995867,Abdeel,,Cuauhtémoc,19.41318,-99.17431,Entire home/apt,951,1,142,2020-12-14,3.85,10,361
22227558,Habitación Privada  en  Depto  Compartido,128286735,Rosario,,Coyoacán,19.34943,-99.14773,Private room,450,1,4,2019-04-14,0.11,4,350
